Email_ID,Email_Type,Subject_Hotness_Score,Email_Source_Type,Customer_Location,Email_Campaign_Type,Total_Past_Communications,Time_Email_sent_Category,Word_Count,Total_Links,Total_Images,Email_Status
EMA00081006256590,1,0.3,1,,3,56,1,220,11,4,1
EMA00081006357200,1,0.1,1,G,2,52,2,352,6,0,0
EMA00081006435540,1,1.8,1,E,2,24,2,1014,9,0,0
EMA00081006577090,1,1.1,2,,2,26,1,673,9,0,0
EMA00081006613420,1,1.9,2,G,2,29,2,655,6,0,1
EMA00081006666700,1,2.3,2,,2,20,2,873,4,3,0
EMA00081006688450,1,4.1,1,G,2,5,1,490,3,0,0
EMA00081006823600,2,0.2,1,G,3,28,2,763,11,0,0
EMA00081006880870,1,1,1,F,2,32,2,542,11,4,0
EMA00081006933010,1,1.1,1,F,2,27,2,623,8,0,0
EMA00081006986770,1,2.9,2,G,2,16,2,760,6,0,0
EMA00081007015970,2,1.5,1,,2,30,3,988,8,0,2
EMA00081007297330,1,1.9,1,D,2,35,2,220,8,0,0
EMA00081007343190,1,1.9,2,,2,24,2,741,8,0,1
EMA00081007406120,2,2.3,1,D,2,,2,518,6,0,1
EMA00081007526220,2,1,1,G,2,15,3,424,9,0,0
EMA00081007543840,2,0.1,2,,3,56,2,40,6,0,1
EMA00081008070240,1,1,2,G,2,,1,704,4,0,0
EMA00081008093160,1,1.6,2,C,2,20,2,1140,9,0,0
EMA00081008120900,1,0.3,1,C,3,43,2,760,13,0,0
EMA00081008131520,2,4.1,1,F,2,5,2,339,3,0,0
EMA00081008189900,1,1.4,1,G,2,23,2,1122,6,5,0
EMA00081008258350,2,0,1,,3,33,2,623,2,0,0
EMA00081008310930,2,0.1,2,E,3,29,1,744,2,0,0
EMA00081008315140,1,0.5,2,E,2,18,2,744,7,0,0
EMA00081008458330,2,0.1,2,E,3,20,2,1014,6,,0
EMA00081008700140,1,1.6,1,G,2,36,1,962,11,2,0
EMA00081008865100,2,0.3,2,F,3,42,2,339,11,3,1
EMA00081008868820,1,1.5,2,,2,,2,962,21,20,1
EMA00081008869260,1,1.5,1,G,2,29,1,577,11,0,0
EMA00081008954150,1,3.3,2,G,2,,1,282,16,15,0
EMA00081009118010,1,0.2,1,D,2,32,2,504,11,0,0
EMA00081009281240,1,0.1,1,D,3,,2,424,6,0,0
EMA00081009310960,2,0.2,2,G,3,,1,550,6,0,1
EMA00081009405190,1,0.2,1,G,3,44,1,904,28,21,1
EMA00081009511290,1,0.2,2,C,3,40,2,623,,14,0
EMA00081009519870,2,0.2,2,E,3,,2,630,16,12,0
EMA00081009608980,1,0,1,E,3,40,2,655,13,2,0
EMA00081009673410,2,2.7,1,G,2,10,2,550,4,0,1
EMA00081009795330,1,1.6,1,D,2,25,1,608,14,2,0
EMA00081009799510,1,0.4,2,D,2,24,1,713,4,0,0
EMA00081009981840,1,1.3,1,D,2,23,3,855,4,0,0
EMA00081010009450,1,0.4,2,D,2,36,3,741,8,0,0
EMA00081010259340,1,1.1,2,,2,40,3,550,8,5,0
EMA00081010405120,1,1.8,1,D,2,16,2,684,11,0,0
EMA00081010465580,1,0.9,1,G,2,38,2,416,9,7,0
EMA00081010471580,1,1.5,2,F,2,27,1,700,6,0,0
EMA00081010575180,2,0.1,2,,3,23,2,939,11,1,0
EMA00081010622220,1,1,1,D,2,30,2,904,11,1,1
EMA00081010801090,1,1.1,1,G,2,44,2,470,11,7,0
EMA00081010895030,1,3.5,2,G,2,,2,653,6,0,0
EMA00081010942490,2,0.3,2,G,3,,2,462,11,4,0
EMA00081010962100,1,1.1,1,,2,25,1,673,21,14,0
EMA00081011083600,1,0.3,2,D,3,,1,608,31,18,0
EMA00081011161830,1,1.5,2,G,2,17,3,842,,0,0
EMA00081011237290,1,0.9,1,E,2,46,2,458,6,0,1
EMA00081011274250,1,0.7,2,C,2,,2,934,14,8,0
EMA00081011285290,2,0,2,,3,28,2,636,8,0,1
EMA00081011318330,2,1.3,1,A,2,37,2,806,6,0,1
EMA00081011451780,1,1.2,1,G,2,30,3,352,8,0,1
EMA00081011515250,1,1.2,1,E,2,17,3,902,11,9,0
EMA00081011592270,1,0.3,1,E,3,43,2,610,6,3,0
EMA00081011943550,2,1.5,1,,2,18,3,812,11,0,0
EMA00081012060570,1,0.3,1,,3,10,2,1303,14,2,0
EMA00081012169470,1,0.3,1,F,2,47,1,366,8,0,0
EMA00081012315020,1,0.5,1,D,2,51,3,366,11,2,0
EMA00081012404040,2,0.3,1,E,2,38,2,1103,6,2,0
EMA00081012570820,1,0.4,2,,2,48,2,462,14,1,0
EMA00081012600940,1,0.5,1,G,2,25,2,855,9,5,0
EMA00081012651600,1,1.9,1,,2,8,2,684,6,2,0
EMA00081012794760,1,0.3,1,G,3,45,3,560,5,0,1
EMA00081012885500,1,0.2,1,C,3,41,2,694,9,6,0
EMA00081012927750,2,1.2,1,B,2,,1,912,11,6,0
EMA00081012980250,2,0.9,1,C,2,49,1,419,21,13,0
EMA00081013352590,1,0.7,2,E,2,13,2,868,11,,0
EMA00081013381100,1,0.3,2,C,3,49,3,610,8,0,1
EMA00081013442150,1,1.5,1,G,2,34,2,655,6,0,0
EMA00081013510610,1,1.4,1,,2,39,2,610,9,0,1
EMA00081013551490,2,0.2,2,G,3,,3,311,4,3,1
EMA00081013741620,1,1.2,2,F,2,30,2,608,9,5,0
EMA00081014117770,2,0.2,1,B,3,51,3,610,16,0,0
EMA00081014237920,1,1.9,2,G,2,24,3,577,11,0,0
EMA00081014254350,1,0.3,1,G,3,32,1,1229,11,0,1
EMA00081014392800,1,0.8,1,G,2,43,1,741,21,7,1
EMA00081014702900,1,1.7,2,G,2,34,2,389,24,16,0
EMA00081014757790,2,0.1,2,G,3,48,2,339,9,0,0
EMA00081014846850,1,3.1,2,D,2,26,3,490,26,25,0
EMA00081014912890,1,0.1,1,A,3,45,2,608,8,0,1
EMA00081014942310,1,2,1,G,2,23,2,1157,41,25,0
EMA00081015071770,2,1.9,1,C,2,18,3,1157,4,0,0
EMA00081015124100,2,0.1,1,E,3,43,3,608,9,0,0
EMA00081015295340,1,0,2,D,1,,1,982,1,0,1
EMA00081015417770,1,0,2,F,3,,3,339,6,0,1
EMA00081015551490,2,1.5,1,E,2,,2,922,11,0,0
EMA00081015693020,1,0.3,2,E,2,,2,1102,19,16,0
EMA00081015693700,1,0.9,2,F,2,20,2,504,11,0,1
EMA00081015744810,2,2,1,G,2,18,2,741,11,3,0
EMA00081015795400,1,0.2,2,D,3,43,2,841,16,0,0
EMA00081015976260,1,0.8,1,D,2,41,2,778,21,10,0
EMA00081016123350,1,1.5,1,E,2,23,2,700,14,0,0
EMA00081016183960,1,0.1,1,E,3,42,2,593,21,13,1
EMA00081016265850,1,1.3,2,B,2,25,2,636,24,13,0
EMA00081016354000,2,1,1,B,2,39,2,934,11,7,0
EMA00081016359350,1,0.6,2,F,2,45,3,610,14,10,1
EMA00081016365090,1,1.6,1,D,2,20,2,1140,26,20,2
EMA00081016380670,1,3.7,1,E,2,15,2,389,5,0,0
EMA00081016462400,1,0.8,1,B,2,30,2,636,41,24,0
EMA00081016516940,1,0.1,1,F,3,56,2,416,14,0,1
EMA00081016520050,1,0,2,G,3,41,2,1061,11,9,0
EMA00081016578260,1,0,2,C,3,18,2,892,16,15,0
EMA00081016581200,1,1.9,2,G,2,15,3,577,11,0,0
EMA00081016692820,1,0.9,2,E,2,11,1,939,19,14,0
EMA00081016720210,2,0.1,1,G,3,39,2,741,8,6,1
EMA00081016758910,2,0,2,F,3,36,2,673,14,3,0
EMA00081016770200,1,0.2,1,G,3,30,2,608,4,2,1
EMA00081016774640,1,0.1,1,F,2,45,3,741,14,0,0
EMA00081016819220,1,0.2,1,,1,0,2,988,1,0,1
EMA00081016853880,1,0.2,1,G,3,,3,542,16,8,1
EMA00081016857910,1,0.6,1,B,2,36,2,542,14,10,0
EMA00081017109030,1,0.4,1,,2,42,2,855,11,0,0
EMA00081017175820,1,0.9,2,E,2,50,2,251,14,1,0
EMA00081017211960,2,2.5,1,,2,6,1,152,14,6,1
EMA00081017221720,1,2,2,G,2,27,2,962,19,10,1
EMA00081017329690,1,0.6,2,B,2,44,1,416,14,7,0
EMA00081017413450,1,1.5,2,G,2,6,2,1157,4,0,0
EMA00081017674660,1,1.1,2,C,2,32,2,933,9,0,0
EMA00081017716590,1,3.8,1,G,2,18,2,424,5,3,0
EMA00081017764290,1,1.9,2,,2,11,3,1216,14,13,0
EMA00081017815160,1,0.1,2,,2,28,2,744,11,0,0
EMA00081017875420,2,1.5,1,B,2,18,3,684,5,1,0
EMA00081018068660,1,1.3,2,G,2,,1,962,4,0,0
EMA00081018191810,1,0.1,1,,3,55,2,339,5,0,0
EMA00081018201160,2,0.4,1,C,2,,2,593,16,13,0
EMA00081018235670,2,0.1,2,E,3,19,2,1271,19,1,0
EMA00081018306700,1,0.5,2,G,2,31,2,1140,21,10,0
EMA00081018366040,1,0,2,G,2,,2,827,16,5,0
EMA00081018576200,1,0.7,2,F,2,39,2,655,14,0,0
EMA00081018900840,2,0.1,2,,3,43,2,392,8,6,2
EMA00081018906130,1,0.5,1,E,2,22,2,524,7,0,0
EMA00081019484190,2,0,2,E,3,,2,806,6,0,0
EMA00081019488040,1,0.8,2,G,2,24,2,1189,6,0,0
EMA00081019572850,1,0.1,1,G,3,26,3,904,4,0,0
EMA00081019777110,1,2.8,1,C,2,10,1,608,6,0,0
EMA00081019821520,1,1.5,2,,2,38,2,550,11,0,0
EMA00081019848410,1,0,2,C,3,,1,1229,4,2,0
EMA00081019989610,1,1,2,G,2,22,1,730,,0,0
EMA00081020063960,1,1.6,2,C,2,17,2,1241,9,4,0
EMA00081020197590,1,0.9,2,E,2,,2,458,6,0,0
EMA00081020246540,2,0,1,D,3,9,2,1038,11,10,0
EMA00081020301680,1,2.8,1,C,2,18,2,623,14,10,2
EMA00081020326400,1,1,2,E,2,19,2,1280,11,0,0
EMA00081020362610,1,3.3,1,E,2,29,1,79,6,0,0
EMA00081020437910,1,0.2,1,G,3,35,2,1140,4,0,1
EMA00081020660780,1,1.6,1,B,2,33,2,424,31,25,1
EMA00081021086160,2,0.4,1,G,2,,3,733,14,,0
EMA00081021098050,1,0.3,1,E,3,35,2,560,16,0,0
EMA00081021234570,2,0.1,2,,3,,2,577,8,3,0
EMA00081021235750,1,1.9,2,A,2,23,2,904,21,8,0
EMA00081021236710,1,1.2,2,C,2,44,2,366,8,4,1
EMA00081021324680,1,2,1,E,2,26,2,416,2,0,0
EMA00081021338230,2,0,1,G,3,16,2,1296,9,,0
EMA00081021427880,1,0.4,2,E,2,32,2,684,11,0,0
EMA00081021459040,1,1.2,1,F,2,36,2,392,6,,0
EMA00081021471310,1,0,1,D,2,35,1,873,11,5,0
EMA00081021483550,1,0,1,G,3,35,2,1216,12,6,0
EMA00081021497510,1,2.7,1,B,2,15,3,700,11,0,0
EMA00081021582540,1,0.2,1,G,3,27,2,1241,13,7,0
EMA00081021647720,1,1,1,G,2,24,1,855,11,0,0
EMA00081021719190,1,0.2,1,G,3,31,1,1203,4,3,1
EMA00081021744930,1,2,2,G,2,,2,470,,4,0
EMA00081021787590,1,2.3,1,C,2,16,2,1103,14,5,0
EMA00081021907800,1,2.1,2,C,2,23,2,623,6,0,0
EMA00081022149680,1,0.2,1,,3,32,3,933,16,6,0
EMA00081022223450,2,0.4,1,G,2,30,2,760,5,0,0
EMA00081022263580,1,0,1,G,3,41,2,771,11,1,2
EMA00081022290390,1,2,2,G,2,11,3,673,,18,0
EMA00081022349390,1,0.8,2,G,2,28,2,662,8,0,0
EMA00081022448000,1,0.2,2,G,3,34,2,662,21,12,1
EMA00081022666060,1,0.2,2,C,3,40,1,577,9,0,1
EMA00081022677590,2,2.3,1,F,2,,2,608,9,0,0
EMA00081022718570,1,2.5,2,G,2,36,3,419,14,4,0
EMA00081022752200,2,2,1,F,2,24,1,145,4,0,0
EMA00081022770030,1,0,2,G,3,60,1,99,19,1,0
EMA00081022816880,1,2.3,1,G,2,35,2,314,14,,0
EMA00081022862990,1,2.9,2,B,2,,1,700,8,0,0
EMA00081022906600,1,0.3,2,D,3,50,3,631,26,17,0
EMA00081022954070,1,1.2,2,G,2,45,2,610,10,3,1
EMA00081023018870,1,0.2,2,D,3,36,2,593,21,9,0
EMA00081023031930,1,1.2,1,G,2,33,2,1038,21,12,0
EMA00081023095350,2,0,1,G,3,16,3,977,,17,0
EMA00081023187300,2,0.6,1,F,2,40,2,187,8,0,0
EMA00081023314640,1,0.3,1,F,2,36,2,841,14,0,0
EMA00081023406490,2,0.2,2,G,3,16,2,1173,5,0,0
EMA00081023540440,2,2.3,1,A,2,16,3,649,7,0,0
EMA00081023631050,1,0,1,E,3,15,2,987,9,0,0
EMA00081023701900,1,1.8,1,G,2,42,1,694,16,10,1
EMA00081023709450,2,1.1,1,G,2,37,2,873,9,0,0
EMA00081023760900,1,2.9,2,G,2,,2,760,,5,0
EMA00081023826280,1,1.8,2,A,2,20,2,542,5,0,0
EMA00081023862400,1,1.7,2,G,2,11,2,855,6,0,0
EMA00081023880930,2,1.5,1,E,2,35,1,366,11,0,2
EMA00081023890140,1,1.2,2,G,2,50,2,67,6,0,1
EMA00081023955300,1,2.9,1,G,2,,2,678,8,0,0
EMA00081024151420,2,2,1,C,2,8,2,662,4,2,0
EMA00081024225720,1,0.2,1,G,3,59,3,187,4,0,2
EMA00081024405850,1,0.1,2,G,3,,3,1189,8,4,0
EMA00081024428760,2,0.5,1,,2,15,1,771,2,0,0
EMA00081024469640,1,0.2,2,E,3,61,2,311,,1,1
EMA00081024476240,2,0.1,2,G,3,51,2,392,6,4,2
EMA00081024484430,2,0.9,1,,2,10,2,721,6,0,0
EMA00081024519320,2,0,2,E,3,13,2,868,6,4,0
EMA00081024539180,1,0.3,2,,2,25,2,1082,11,0,0
EMA00081024736710,2,0.2,1,D,3,37,2,694,11,5,0
EMA00081024849550,2,0,2,G,3,37,2,741,18,0,0
EMA00081024911480,2,0,1,D,3,50,2,490,11,0,2
EMA00081024976910,1,0.1,1,G,2,37,3,1103,14,0,0
EMA00081025166760,1,3.2,2,E,2,25,2,419,11,5,1
EMA00081025236100,1,0.4,1,D,2,33,2,1157,21,13,0
EMA00081025252450,1,1.4,1,,2,36,2,605,,15,1
EMA00081025332670,1,1.4,1,C,2,37,2,560,6,0,0
EMA00081025488860,1,2.3,1,C,2,22,2,392,,2,0
EMA00081025674790,1,1.3,2,G,2,18,2,713,16,6,0
EMA00081025706290,1,0.8,2,F,2,45,1,419,14,10,1
EMA00081025760760,2,0.1,2,G,3,20,1,311,8,6,0
EMA00081025812230,1,0.8,2,E,2,37,2,655,16,6,0
EMA00081025812630,1,3,2,G,2,16,2,771,8,0,0
EMA00081025813450,1,2.7,2,,2,,2,873,11,0,0
EMA00081025889620,2,0.2,1,B,3,20,3,1303,21,12,0
EMA00081025911470,1,0.6,2,E,2,40,3,462,11,5,0
EMA00081026089900,1,1,2,G,2,22,1,1122,21,18,0
EMA00081026133390,2,1.6,1,D,2,18,2,704,6,0,0
EMA00081026232410,1,2.9,2,G,2,16,2,560,21,9,0
EMA00081026517490,1,2.5,2,D,2,,2,419,4,0,1
EMA00081026836930,1,0.6,1,E,2,37,1,1038,6,0,0
EMA00081026838260,2,1.8,1,D,2,24,2,741,6,2,0
EMA00081027000660,2,0.7,1,D,2,18,2,678,21,8,0
EMA00081027042980,1,1.5,2,D,2,42,3,610,16,15,0
EMA00081027102940,1,2,2,G,2,24,2,630,4,0,1
EMA00081027184880,1,0.4,2,E,2,35,1,778,6,3,0
EMA00081027185990,1,1.8,1,D,2,29,1,524,11,5,0
EMA00081027237510,1,1.1,1,,2,21,2,1122,21,6,0
EMA00081027319160,1,0.3,2,D,3,35,3,694,24,13,2
EMA00081027397710,2,0.5,1,G,2,18,1,768,6,5,0
EMA00081027543510,1,3,2,D,2,,2,608,8,2,0
EMA00081027848380,2,0.4,1,B,2,22,2,733,6,0,0
EMA00081028021330,1,3.9,2,E,2,,2,152,8,0,0
EMA00081028094160,2,0.3,2,,1,0,2,812,1,0,1
EMA00081028190400,1,1.6,1,F,2,27,2,662,3,0,0
EMA00081028198570,1,0,1,D,3,32,2,704,5,0,0
EMA00081028199280,1,0.2,1,C,3,50,1,630,9,0,1
EMA00081028246030,1,0.2,2,,3,10,3,892,21,20,0
EMA00081028249420,1,1.2,1,G,2,,2,440,9,3,0
EMA00081028330970,2,0,1,G,3,24,1,842,4,1,0
EMA00081028405950,1,0.1,2,E,2,25,3,730,8,4,0
EMA00081028568960,1,0.2,2,,2,36,2,962,11,9,0
EMA00081028913050,1,2.7,1,G,2,36,1,419,11,8,1
EMA00081029097360,1,1,1,G,2,29,1,827,14,2,0
EMA00081029143710,2,1,1,,2,19,3,1122,11,8,0
EMA00081029462840,2,0.1,1,G,3,51,2,550,6,0,0
EMA00081029589560,2,1.9,1,E,2,19,2,1140,14,0,0
EMA00081029648820,1,0,1,,1,0,3,653,1,0,1
EMA00081029933600,1,1.1,2,C,2,39,3,933,14,0,0
EMA00081030015970,2,1.1,1,C,2,21,2,694,11,1,0
EMA00081030079160,1,0.4,1,G,2,33,2,673,11,9,0
EMA00081030169140,1,1.4,2,C,2,30,3,578,21,11,1
EMA00081030176630,1,2.1,2,E,2,27,3,484,6,1,0
EMA00081030387020,1,0.1,2,G,3,14,3,484,4,0,0
EMA00081030402150,1,1.3,2,E,2,46,1,145,6,0,0
EMA00081030409190,1,0.3,2,D,2,39,3,608,11,8,0
EMA00081030506110,1,1.2,2,C,2,14,2,1280,11,8,0
EMA00081030533550,1,1.1,2,E,2,27,2,1061,18,4,0
EMA00081030652400,1,2.9,2,E,2,20,2,366,16,14,0
EMA00081030724900,1,0.2,2,E,2,20,3,1216,31,16,0
EMA00081030830710,1,0.2,2,E,2,45,2,440,14,6,0
EMA00081031111540,1,0.3,2,,2,20,1,733,6,2,0
EMA00081031129170,1,0.8,1,G,2,,2,988,6,0,1
EMA00081031173540,1,3.2,1,G,2,20,1,484,6,0,0
EMA00081031250340,1,3,1,E,2,,1,504,6,3,0
EMA00081031273220,1,0.3,1,E,3,20,2,922,16,5,0
EMA00081031285670,2,0.8,1,D,2,36,2,934,8,0,0
EMA00081031315040,1,2.6,1,G,2,24,2,518,11,0,0
EMA00081031606070,1,1,2,G,2,25,1,673,6,1,0
EMA00081031651790,1,3.3,2,C,2,13,2,678,5,0,0
EMA00081031670990,1,2.3,1,,2,,2,282,,3,0
EMA00081031676110,2,0,2,G,3,,1,1229,6,0,0
EMA00081031838230,1,0.2,1,G,3,12,2,661,6,0,0
EMA00081031842840,1,1.5,1,G,2,40,2,518,6,4,0
EMA00081031869610,1,3.5,2,C,2,,2,484,8,0,0
EMA00081031924620,1,0.3,2,,3,24,3,904,11,4,0
EMA00081031927330,1,0.6,1,F,2,20,2,1082,11,3,0
EMA00081032039960,1,2.8,2,E,2,6,2,608,9,3,0
EMA00081032089850,1,1.8,2,G,2,,2,684,7,5,0
EMA00081032140150,1,1.8,2,D,2,20,2,827,21,4,0
EMA00081032152610,2,0.3,1,,2,32,1,1014,11,0,0
EMA00081032195850,2,0.1,1,D,3,32,2,352,8,1,0
EMA00081032210250,2,0.7,1,G,2,26,2,880,4,0,0
EMA00081032227190,1,2.3,1,D,2,18,3,741,6,4,0
EMA00081032244630,2,0.9,1,,2,27,2,855,31,16,1
EMA00081032366280,1,2.7,1,,2,21,3,733,6,0,0
EMA00081032430880,1,1.8,2,,2,12,3,684,6,,0
EMA00081032467180,1,2,1,G,2,19,2,988,21,20,0
EMA00081032490980,1,0,2,F,3,37,2,873,26,7,0
EMA00081032505360,1,2.2,2,B,2,19,1,700,14,3,0
EMA00081032559910,1,1.8,2,,2,,2,662,16,15,0
EMA00081032570580,1,0.9,2,C,2,30,2,1038,18,11,0
EMA00081032633400,1,2,1,E,2,17,2,673,11,0,0
EMA00081032668550,1,0,1,E,3,40,2,220,4,0,1
EMA00081032705930,1,1.2,1,G,2,20,1,922,9,0,0
EMA00081032720380,1,1.4,1,D,2,30,2,733,11,7,0
EMA00081032826800,2,0.1,1,G,3,47,2,275,6,0,0
EMA00081033074400,1,3.4,1,,2,23,1,220,,1,0
EMA00081033103680,2,0.1,1,F,3,26,3,649,6,1,0
EMA00081033211790,1,0.3,1,G,2,39,2,721,11,0,0
EMA00081033258560,1,1.3,1,G,2,28,2,661,6,0,0
EMA00081033294470,1,0.5,2,G,2,47,1,424,11,10,0
EMA00081033419320,2,1.3,1,,2,25,3,608,11,0,1
EMA00081033426530,1,0,1,D,3,40,3,593,4,0,0
EMA00081033760970,1,3.1,1,G,2,10,2,806,11,0,0
EMA00081033898050,2,2.1,1,G,2,15,2,1103,4,0,0
EMA00081033925730,2,0.4,1,D,2,45,2,504,9,0,0
EMA00081033968050,1,3.1,2,G,2,20,2,419,6,0,0
EMA00081034003860,1,2.4,1,G,2,22,3,416,14,12,0
EMA00081034127290,1,3.7,2,D,2,7,2,733,11,0,2
EMA00081034170510,1,1.7,2,A,2,38,3,152,6,2,1
EMA00081034367780,2,1.3,1,G,2,25,2,484,2,0,0
EMA00081034415040,1,0.1,1,G,2,,3,827,21,14,0
EMA00081034479810,1,0,2,,3,31,2,842,5,0,0
EMA00081034589950,1,0.2,2,G,3,18,2,608,14,0,0
EMA00081034659260,1,0.2,1,E,3,60,1,419,16,7,0
EMA00081034666940,1,1.6,1,,2,21,2,684,11,0,0
EMA00081034686150,2,2.3,1,C,2,15,3,1103,4,0,0
EMA00081034816080,1,0,2,E,3,28,2,694,11,2,0
EMA00081034859820,2,0.3,1,F,3,50,2,190,4,0,1
EMA00081035059050,1,1.6,1,D,2,31,2,462,11,0,1
EMA00081035202170,2,0.6,1,G,2,29,2,623,4,0,0
EMA00081035227150,1,0,2,D,3,,2,578,8,0,1
EMA00081035283790,1,1.6,1,G,2,40,2,40,4,1,1
EMA00081035308990,1,1.9,2,F,2,21,1,721,16,0,0
EMA00081035314040,1,0.6,2,,2,41,2,311,6,0,1
EMA00081035318490,1,2.1,1,G,2,22,2,721,6,0,0
EMA00081035436590,1,0,1,G,3,49,1,521,7,0,0
EMA00081035499190,1,0.1,1,G,3,41,3,760,31,16,2
EMA00081035521800,1,0.1,1,,3,44,3,458,4,0,0
EMA00081035539420,1,0.5,2,G,2,,2,593,12,8,0
EMA00081035557410,1,0.5,2,G,2,38,1,1038,11,0,0
EMA00081035597380,1,0.3,1,G,2,34,2,673,21,9,0
EMA00081035835050,2,0.1,1,D,3,37,2,1061,8,0,1
EMA00081035946620,2,0.3,2,G,3,,3,655,6,1,0
EMA00081036007340,1,2.9,2,G,2,9,2,653,4,0,0
EMA00081036216330,1,2.1,2,G,2,21,2,1038,6,0,0
EMA00081036400380,2,1.6,1,C,2,26,2,962,,5,0
EMA00081036648240,1,1.1,1,D,2,49,3,220,14,0,0
